dataset,model,calibration,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,brier_mean,brier_std,ece_mean,ece_std
german_credit,lr,sigmoid,0.7353769841269843,0.033681027476414216,0.5013506874463726,0.03914729356700416,0.17433374874388993,0.01297367673095681,0.044961349806234306,0.008079057196572838
german_credit,lr,isotonic,0.7355952380952382,0.0332929708862222,0.49699341172362105,0.03839945295555409,0.17434796014166556,0.011272215776907226,0.05014553473405827,0.013922578148655222
german_credit,lr,raw,0.7353769841269843,0.033681027476414216,0.5013506874463726,0.03914729356700416,0.28959818034930035,0.04099371643958189,0.29414628435595364,0.04356019146887014
german_credit,rf,sigmoid,0.7462500000000002,0.011721657330211178,0.5455698379025206,0.02942540807922571,0.1790271509844311,0.0034734475433907622,0.07267476760511134,0.005865891566736751
german_credit,rf,isotonic,0.734265873015873,0.018840609986305778,0.49160685810727256,0.011228526835752583,0.1838070723844467,0.0053454528558108646,0.05811880620414941,0.0059343832243432424
german_credit,rf,raw,0.7462500000000002,0.011721657330211178,0.5455698379025206,0.02942540807922571,0.2080096525679244,0.003177081927718815,0.1705232748518636,0.010703894605660425
german_credit,xgb,sigmoid,0.7761111111111111,0.011484445098214679,0.5972486887639677,0.02820857976993209,0.16873433576925165,0.004337804135416746,0.07707528452858967,0.028453424756423585
german_credit,xgb,isotonic,0.7653174603174605,0.012465561023885454,0.5452766830476716,0.02543561318198492,0.1760732210232879,0.0032382189015908057,0.07744383801648447,0.022789577988415327
german_credit,xgb,raw,0.7761111111111111,0.011484445098214679,0.5972486887639677,0.02820857976993209,0.176772369355478,0.006476057579365581,0.10355820883191573,0.014235694705539753
uci_default,lr,isotonic,0.7200882449714466,0.007103163664181654,0.4770673903537892,0.016717258564830095,0.14275564661932258,0.003251830180943947,0.017326532627253734,0.0017211162738113787
uci_default,lr,sigmoid,0.7210995218944168,0.007169876247284864,0.49680716492804894,0.020475029570586542,0.14700358864132537,0.0018388680063605232,0.056986247484392766,0.012357206581306554
uci_default,lr,raw,0.7210995218944168,0.007169876247284864,0.49680716492804894,0.020475029570586542,0.2366406932723177,0.021375008054205148,0.2549835627565596,0.022011940634031568
uci_default,rf,isotonic,0.7765086600900607,0.003526343808507821,0.5248695094988038,0.013579930193196489,0.1364409724730787,0.002357097176439428,0.013607170650897102,0.0051445437758323685
uci_default,rf,sigmoid,0.7776332776494038,0.0037958183900610523,0.5427520173419275,0.014434801993761102,0.13671179854824683,0.0018980755781642527,0.013206346803262067,0.0006925552809312135
uci_default,rf,raw,0.7776332776494038,0.0037958183900610523,0.5427520173419275,0.014434801993761102,0.18107016324010605,0.0023059719047943505,0.20613153775815518,0.002990682563146113
uci_default,xgb,sigmoid,0.7791284226009775,0.004231327933534195,0.5511025389153835,0.01815885776660399,0.13540348300273614,0.002158910306518498,0.013018611101463665,0.0032862738349854095
uci_default,xgb,raw,0.7791284226009775,0.004231327933534195,0.5511025389153835,0.01815885776660399,0.13550036470259144,0.002360969817827916,0.01515020293025813,0.0030100643166832493
uci_default,xgb,isotonic,0.7784565494143404,0.0047781616950960835,0.5317102817181996,0.016648515400818693,0.13588262243473728,0.002369462825803158,0.011613162900612034,0.00551746709417608
