dataset,model,method,alpha,band,review_cost_multiplier,coverage_mean,automation_rate_mean,review_rate_mean,approved_default_rate_mean,expected_cost_mean
german_credit,lr,split_conformal,0.1,,0.05,0.9233333333333333,0.14833333333333334,0.8516666666666667,0.1123595505617977,0.29624999999999996
german_credit,lr,split_conformal,0.1,,0.1,0.9233333333333333,0.14833333333333334,0.8516666666666667,0.1123595505617977,0.5091666666666667
german_credit,lr,split_conformal,0.1,,0.2,0.9233333333333333,0.14833333333333334,0.8516666666666667,0.1123595505617977,0.935
german_credit,lr,uncertainty_band,,0.1,0.05,,0.8383333333333334,0.16166666666666665,,0.5954166666666666
german_credit,lr,uncertainty_band,,0.05,0.05,,0.84,0.16,,0.5966666666666667
german_credit,lr,uncertainty_band,,0.02,0.05,,0.85,0.15,,0.6041666666666666
german_credit,lr,uncertainty_band,,0.1,0.1,,0.8383333333333334,0.16166666666666665,,0.6358333333333333
german_credit,lr,uncertainty_band,,0.05,0.1,,0.84,0.16,,0.6366666666666666
german_credit,lr,uncertainty_band,,0.02,0.1,,0.85,0.15,,0.6416666666666666
german_credit,lr,uncertainty_band,,0.02,0.2,,0.85,0.15,,0.7166666666666667
german_credit,lr,uncertainty_band,,0.05,0.2,,0.84,0.16,,0.7166666666666667
german_credit,lr,uncertainty_band,,0.1,0.2,,0.8383333333333334,0.16166666666666665,,0.7166666666666667
german_credit,rf,split_conformal,0.1,,0.05,0.915,0.17666666666666667,0.8233333333333334,0.1142361111111111,0.3025
german_credit,rf,split_conformal,0.1,,0.1,0.915,0.17666666666666667,0.8233333333333334,0.1142361111111111,0.5083333333333333
german_credit,rf,split_conformal,0.1,,0.2,0.915,0.17666666666666667,0.8233333333333334,0.1142361111111111,0.9199999999999999
german_credit,rf,uncertainty_band,,0.1,0.05,,0.69,0.31,,0.4991666666666667
german_credit,rf,uncertainty_band,,0.05,0.05,,0.81,0.19000000000000003,0.0441176470588235,0.5458333333333333
german_credit,rf,uncertainty_band,,0.1,0.1,,0.69,0.31,,0.5766666666666667
german_credit,rf,uncertainty_band,,0.05,0.1,,0.81,0.19000000000000003,0.0441176470588235,0.5933333333333334
german_credit,rf,uncertainty_band,,0.02,0.05,,0.9199999999999999,0.08,0.0425531914893617,0.6066666666666667
german_credit,rf,uncertainty_band,,0.02,0.1,,0.9199999999999999,0.08,0.0425531914893617,0.6266666666666666
german_credit,rf,uncertainty_band,,0.02,0.2,,0.9199999999999999,0.08,0.0425531914893617,0.6666666666666666
german_credit,rf,uncertainty_band,,0.05,0.2,,0.81,0.19000000000000003,0.0441176470588235,0.6883333333333334
german_credit,rf,uncertainty_band,,0.1,0.2,,0.69,0.31,,0.7316666666666666
german_credit,xgb,split_conformal,0.1,,0.05,0.91,0.26499999999999996,0.735,0.0815325670498084,0.29875
german_credit,xgb,split_conformal,0.1,,0.1,0.91,0.26499999999999996,0.735,0.0815325670498084,0.4825
german_credit,xgb,split_conformal,0.1,,0.2,0.91,0.26499999999999996,0.735,0.0815325670498084,0.85
german_credit,xgb,uncertainty_band,,0.1,0.05,,0.7233333333333333,0.27666666666666667,,0.5225
german_credit,xgb,uncertainty_band,,0.02,0.05,,0.81,0.19000000000000003,0.0,0.5575
german_credit,xgb,uncertainty_band,,0.05,0.05,,0.7883333333333334,0.21166666666666667,,0.5612499999999999
german_credit,xgb,uncertainty_band,,0.1,0.1,,0.7233333333333333,0.27666666666666667,,0.5916666666666667
